產區標籤,1. 勃艮第的優雅魅力： 代表知名的法國產區並描繪其酒款風味
產區標籤,2. 托斯卡納的義式浪漫： 代表義大利的著名產區，宜人的環境與葡萄酒文化
產區標籤,3. 巴羅薩谷的澳洲驕傲： 代表澳洲的重要產區，展現國家酒風
產區標籤,4. 里奧哈的西班牙篇章： 代表西班牙的知名產區，並帶出其豐富的葡萄酒傳統
產區標籤,5. 門多薩的拉丁風情： 代表阿根廷的主要產區，描繪著當地的風土與精神。
國家標籤,1. 法國精髓： 代表葡萄酒主要来源
國家標籤,2. 義大利風情： 代表葡萄酒风味和文化背景
國家標籤,3. 西班牙傳奇： 代表特殊的葡萄酒品種和風味
國家標籤,4. 美國創新意念： 代表進步和創新的葡萄酒釀造方式
國家標籤,5. 阿根廷瑰寶： 代表獨特的馬爾貝克葡萄酒
國家標籤,6. 澳洲力量： 代表澳洲強烈豐富的設拉子葡萄酒
國家標籤,7. 智利之美： 代表具有豐富果香的葡萄酒
國家標籤,8. 中國新星： 代表中國新興的葡萄酒釀造實力
國家標籤,9. 德國冰酒專家： 代表甜酒的出色製作技術
國家標籤,10. 紐西蘭清新： 代表清新淡雅的葡萄酒風味
品種標籤,1. 黑皮諾精緻：代表葡萄品種及風味
品種標籤,2. 黑比諾明亮：代表葡萄品種以及味道
品種標籤,3. 黑皮諾入口丝滑：代表葡萄品種與口感
品種標籤,4. 賽眾尼與牛排的完美組合：代表葡萄品種與食物的搭配
品種標籤,5. 波爾多風味：代表該地區的特殊風味
品種標籤,6. 霞多麗抱果香：代表葡萄品種和香氣
品種標籤,7. 巴羅洛經典：代表產地與傳統
品種標籤,8. 佳美娜果香四溢：代表葡萄品種與特色
品種標籤,9. 培西克清新：代表葡萄品種與風味
品種標籤,10. 丹魄紅酒醇厚：代表葡萄品種與口感
品種標籤,11. 赤霞珠熱烈：代表葡萄品種與風味
品種標籤,12. 法國優雅：代表產地與風格
品種標籤,13. 長相思清爽：代表品種與口感
品種標籤,14. 骨乾風格：代表酒的甜度
品種標籤,15. 加州風韻：代表產地特色
品種標籤,16. 義大利地中海風：代表產地風格
品種標籤,17. 醇厚口感：代表嘗試感受
品種標籤,18. 精致香氣：代表風味體驗
品種標籤,19. 高級品
風味標籤,1. 酵母味風格
風味標籤,2. 海鮮愛好者的首選
風味標籤,3. 冷涼氣候優勢
風味標籤,4. 番茄醬豐富顏色
風味標籤,5. 抗氧化元素含量高
風味標籤,6. 豐富龍眼香氣
風味標籤,7. 帶有野生草本風味
風味標籤,8. 花香滿溢
風味標籤,9. 溫暖氣候之選
風味標籤,10. 杏仁感覺鋪面而來
風味標籤,11. 熱帶水果風格
風味標籤,12. 不甜微苦的揮霍
風味標籤,13. 陽光下的清爽
風味標籤,14. 天生的冰酒愛好者
風味標籤,15. 草食動物的美酒推薦
風味標籤,16. 香草味映襯
風味標籤,17. 揚州炒飯的理想搭檔
風味標籤,18. 美味的堅果風味
風味標籤,19. 100分完美口味
風味標籤,20. 是玫瑰旅行者的破酒
風味標籤,21. 給素食者的確切選擇
風味標籤,22. 適合聖誕派對
風味標籤,23. 絕佳的披薩配酒
風味標籤,24. 適宜春天野餐
風味標籤,25. 喜歡辣的你必備
風味標籤,26. 咖啡愛好者的新選擇
風味標籤,27. 溫暖你的冬日
風味標籤,28. 甜蜜夕陽下的選擇
風味標籤,29. 解酒良藥
風味標籤,30. 香料和香草的完美結合。
口感標籤,1. 果味繚繞： 代表果香味的強烈表現
口感標籤,2. 酸甜綿密： 代表甜度和酸度的平衡
口感標籤,3. 細緻單寧： 表示單寧的感覺清楚且精致
口感標籤,4. 冇厚酒體： 表示整體口感飽滿而有層次
口感標籤,5. 持久餘韻： 代表口中留有長時間的風味。
製成標籤,1. 雅緻香檳：空氣中滿溢的酵母和堅果香氣
製成標籤,2. 起泡樂章：氣酸清爽，清新果香
製成標籤,3. 輕盈長相思： 適合搭配海鮮的高酸度酒
製成標籤,4. 霞多麗之美：全酒體白酒，豐滿且複雜
製成標籤,5. 明艷玫瑰酒： 甜美且悅目的葡萄酒
製成標籤,6. 黑皮諾風情： 清淡料理的最佳配搭
製成標籤,7. 赤霞珠堅實： 富有結構感的紅酒
製成標籤,8. 甜美貴腐：蜂蜜與熱帶水果風味的甜酒
製成標籤,9. 波爾多紅寶： 法國著名的混釀紅酒
製成標籤,10. 勃艮第經典： 霞多麗與黑皮諾的代表
製成標籤,11. 托斯卡納驕傲： 義大利特色的基安帝
製成標籤,12. 巴羅洛傳奇： 皮埃蒙特產區的精釀
製成標籤,13. 西班牙丹魄： 里奧哈產區的平衡葡萄酒
製成標籤,14. 加州赤霞珠： 納帕谷名氣的赤霞珠
製成標籤,15. 澳洲特拉子： 巴羅薩谷特色
製成標籤,16. 亞根廷馬爾貝克： 佳
1. 甜度標籤：可以分為「骨乾」、「微甜」、「中等甜度」、「非常甜」等，以表示葡萄酒的甜度。,1. 「極致骨乾」：代表葡萄酒的甜度極低，口感清爽。
1. 甜度標籤：可以分為「骨乾」、「微甜」、「中等甜度」、「非常甜」等，以表示葡萄酒的甜度。,2. 「微甜如詩」：代表葡萄酒的甜度剛好，給人輕柔甜美的感受。
